Sample_ID	Date_Collected	Date_Category	Year	Station	Sample_Type	Experiment	Morphotype	Oligotype	Area	Temp	SpCond	Part_MC	DissO2	avgPAR_0.5m	TP	TDP	SRP	NH4	NO3_NO2	POC	PON	CDOM_400nm	TSS	VSS	Extraction_Date	Amplification	Enough_reads
MC2019_0010	9-Sep-19	Late	2019	WE16	Colony	Colony	wesenbergii	NA	62687	21.4	253.07	0	6.56	113	51.1	8.34	3.01	20.13	563	1.85	0.44	0.93	17.87	3.49	8-Dec-19	Yes	No
MC2019_0011	9-Sep-19	Late	2019	WE16	Colony	Colony	wesenbergii	Type_2	51847	21.4	253.07	0	6.56	113	51.1	8.34	3.01	20.13	563	1.85	0.44	0.93	17.87	3.49	8-Dec-19	Yes	Yes
MC2019_0012	9-Sep-19	Late	2019	WE16	Colony	Colony	wesenbergii	Type_2	38475	21.4	253.07	0	6.56	113	51.1	8.34	3.01	20.13	563	1.85	0.44	0.93	17.87	3.49	8-Dec-19	Yes	Yes
MC2019_0014	9-Sep-19	Late	2019	WE16	Colony	Colony	wesenbergii	Type_2	21961	21.4	253.07	0	6.56	113	51.1	8.34	3.01	20.13	563	1.85	0.44	0.93	17.87	3.49	8-Dec-19	Yes	Yes
MC2019_0020	9-Sep-19	Late	2019	WE16	Colony	Colony	wesenbergii	Type_2	51022	21.4	253.07	0	6.56	113	51.1	8.34	3.01	20.13	563	1.85	0.44	0.93	17.87	3.49	8-Dec-19	Yes	Yes
MC2019_0021	9-Sep-19	Late	2019	WE16	Colony	Colony	wesenbergii	NA	38307	21.4	253.07	0	6.56	113	51.1	8.34	3.01	20.13	563	1.85	0.44	0.93	17.87	3.49	8-Dec-19	Yes	No
MC2019_0023	9-Sep-19	Late	2019	WE16	Colony	Colony	wesenbergii	NA	37223	21.4	253.07	0	6.56	113	51.1	8.34	3.01	20.13	563	1.85	0.44	0.93	17.87	3.49	8-Dec-19	Yes	No
MC2019_0024	9-Sep-19	Late	2019	WE16	Colony	Colony	wesenbergii	NA	36644	21.4	253.07	0	6.56	113	51.1	8.34	3.01	20.13	563	1.85	0.44	0.93	17.87	3.49	8-Dec-19	Yes	No
MC2019_0025	9-Sep-19	Late	2019	WE16	PBS Blank	Colony	NA	NA	NA	21.4	253.07	0	6.56	113	51.1	8.34	3.01	20.13	563	1.85	0.44	0.93	17.87	3.49	8-Dec-19	No	No
MC2019_0026	9-Sep-19	Late	2019	WE16	PBS Blank	Colony	NA	NA	NA	21.4	253.07	0	6.56	113	51.1	8.34	3.01	20.13	563	1.85	0.44	0.93	17.87	3.49	8-Dec-19	No	No
MC2019_0028	22-Jul-19	Early	2019	WE8	Colony	Colony	aeruginosa	NA	78877	26.4	332.03	5.18	6.7	94	54.98	12.27	nan	nan	nan	2	0.34	2.21	13.76	4.41	11-Dec-19	Yes	No
MC2019_0031	22-Jul-19	Early	2019	WE8	Colony	Colony	novacekii	NA	75697	26.4	332.03	5.18	6.7	94	54.98	12.27	nan	nan	nan	2	0.34	2.21	13.76	4.41	11-Dec-19	Yes	No
MC2019_0033	22-Jul-19	Early	2019	WE8	Colony	Colony	novacekii	NA	46567	26.4	332.03	5.18	6.7	94	54.98	12.27	nan	nan	nan	2	0.34	2.21	13.76	4.41	11-Dec-19	Yes	No
